Sample Station Label,Year,BHC20_100,day1,day2,day3,day4,tssr1,tssr2,tssr3,tssr4,dur1,dur2,dur3,dur4,visit1,visit2,visit3,visit4
PC11-M_20,2011,CMF,,0.4,,,,0.034722222,,,,0.08,,,,0,,
PC11-M_21,2011,CMF,,0.4,,,,0.047222222,,,,0.08,,,,0,,
PC11-M_22,2011,RYF,0.378082192,,0.457534247,,0.002083333,,0.004166667,,0.08,,0.08,,0,,0,
PC11-M_23,2011,RYF,,0.4,,,,0.072222222,,,,0.08,,,,0,,
PC11-M_24,2011,RYF,,0.4,,,,0.079861111,,,,0.08,,,,0,,
PC11-M_25,2011,RYF,,0.4,,,,0.090277778,,,,0.08,,,,0,,
PC11-M_26,2011,RYF,,0.4,,,,0.097916667,,,,0.08,,,,0,,
PC11-M_27,2011,RYF,,0.4,,,,0.10625,,,,0.08,,,,0,,
PC11-M_28,2011,DYF,,0.4,,,,0.115972222,,,,0.08,,,,0,,
PC11-M_30,2011,CYF,,0.4,,,,0.142361111,,,,0.08,,,,0,,
PC11-M_31,2011,NVE,,0.4,,,,0.15,,,,0.08,,,,0,,
PC11-M_32,2011,DMF,,0.4,,,,0.165277778,,,,0.08,,,,0,,
PC11-M_33,2011,DYF,,,0.457534247,,,,0.067361111,,,,0.08,,,,0,
PC11-M_34,2011,DYF,0.378082192,,0.457534247,,0.032638889,,0.041666667,,0.08,,0.08,,0,,0,
PC11-M_37,2011,CYF,,0.4,,,,0.061111111,,,,0.08,,,,0,,
PC11-M_38,2011,CMF,,,0.457534247,,,,0.013888889,,,,0.08,,,,0,
PC11-PR-01_01,2011,CMF,0.380821918,,,,0.002083333,,,,0.08,,,,0,,,
PC11-PR-01_02,2011,CMF,0.380821918,,,,0.009722222,,,,0.08,,,,0,,,
PC11-PR-01_03,2011,CMF,0.380821918,,,,0.01875,,,,0.08,,,,0,,,
PC11-PR-01_04,2011,CMF,0.380821918,,,,0.027777778,,,,0.08,,,,0,,,
PC11-PR-01_05,2011,RMF,0.380821918,,0.531506849,,0.038194444,,0.042361111,,0.08,,0.08,,0,,0,
PC11-PR-01_06,2011,RMF,0.380821918,,0.531506849,,0.046527778,,0.053472222,,0.08,,0.08,,0,,0,
PC11-PR-01_07,2011,CMF,0.380821918,,0.531506849,,0.055555556,,0.061805556,,0.08,,0.08,,0,,0,
PC11-PR-01_08,2011,CMF,0.380821918,,0.531506849,,0.066666667,,0.071527778,,0.08,,0.08,,0,,0,
PC11-PR-01_09,2011,CMF,0.380821918,,0.531506849,,0.077083333,,0.080555556,,0.08,,0.08,,0,,0,
PC11-PR-01_10,2011,CMF,0.380821918,,0.531506849,,0.088194444,,0.089583333,,0.08,,0.08,,0,,0,
PC11-PR-01_11,2011,CMF,0.380821918,,0.531506849,,0.097222222,,0.1,,0.08,,0.08,,0,,0,
PC11-PR-01_12,2011,CMF,0.380821918,,0.531506849,,0.10625,,0.108333333,,0.08,,0.08,,0,,0,
PC11-PR-01_13,2011,CMF,0.380821918,,0.531506849,,0.117361111,,0.115972222,,0.08,,0.08,,0,,0,
PC11-PR-01_14,2011,RSH,0.380821918,,0.531506849,,0.126388889,,0.124305556,,0.08,,0.08,,0,,0,
PC11-PR-01_15,2011,RSH,0.380821918,,0.531506849,,0.134027778,,0.134027778,,0.08,,0.08,,0,,1,
PC11-PR-01_16,2011,RYF,0.380821918,,0.531506849,,0.140972222,,0.143055556,,0.08,,0.08,,0,,0,
PC11-PR-01_17,2011,RYF,0.380821918,,0.531506849,,0.147222222,,0.148611111,,0.08,,0.08,,0,,0,
PC11-PR-01_18,2011,RMF,0.380821918,,0.531506849,,0.152777778,,0.154166667,,0.08,,0.08,,0,,0,
PC11-PR-01_19,2011,NVE,0.380821918,,0.531506849,,0.158333333,,0.159722222,,0.08,,0.08,,0,,0,
PC11-PR-01_20,2011,CYF,0.380821918,,0.531506849,,0.164583333,,0.166666667,,0.08,,0.08,,0,,0,
PC11-PR-01_21,2011,CMF,,0.42739726,0.531506849,,,0.000694444,-0.001388889,,,0.08,0.08,,,0,0,
PC11-PR-01_22,2011,DYF,,0.42739726,0.531506849,,,0.007638889,0.004166667,,,0.08,0.08,,,0,0,
PC11-PR-01_23,2011,CMF,,0.42739726,0.531506849,,,0.016666667,0.010416667,,,0.08,0.08,,,0,0,
PC11-PR-01_24,2011,CMF,,0.42739726,0.531506849,,,0.027777778,0.022222222,,,0.08,0.08,,,0,0,
