FID,Shape *,OBJECTID_1,OBJECTID,OBJECTID_2,OBJECTID_3,FEATURE_ID,CEM_ECP,ECP_TAG,SOURCE,MAP_SRC,ECO_SEC,BECUNIT,SDEC_1,DEC1,SDEC_2,DEC2,SDEC_3,DEC3,BHC20_1,BHC20_2,BHC20_3,BHC33_1,BHC33_2,BHC33_3,SDEC1_AREA,SDEC2_AREA,SDEC3_AREA,Area_m
3900,Polygon,66510,1999,0,0,0,81976,094A025_3681,V,TEM,PEL,BWBSmw1,10,GP1,0, ,0, ,ANT, , ,ANT, , ,17366.75722,0,0,17366.76043
3901,Polygon,66512,2001,0,0,0,81978,094A016_3751,P,TEM,PEL,BWBSmw1,10,SW:as5,0, ,0, ,DYF, , ,DYF-At, , ,205049.4773,0,0,205049.4908
3902,Polygon,66514,2003,0,0,0,81980,094A025_3577,P,TEM,PEL,BWBSmw1,10,AM:ap5,0, ,0, ,DYF, , ,DYF-At, , ,140470.1536,0,0,140470.1502
3903,Polygon,66516,2006,0,0,0,81983,094A016_3412,P,TEM,PEL,BWBSmw1,10,AM:ap5,0, ,0, ,DYF, , ,DYF-At, , ,63563.60531,0,0,63563.65852
3904,Polygon,66518,2012,0,0,0,81989,094A026_3505,P,TEM,PEL,BWBSmw1,5,CB1,5,WW2b,0, ,NVE,DSG, ,NVE,DSG, ,11079.09134,11079.09134,0,22158.1853
3905,Polygon,66519,2013,0,0,0,81990,094A025_3595,P,TEM,PEL,BWBSmw1,10,AM:ap5,0, ,0, ,DYF, , ,DYF-At, , ,35293.36974,0,0,35293.35306
3906,Polygon,66521,2018,0,0,0,81992,094A026_3541,P,TEM,PEL,BWBSmw1,10,CF2,0, ,0, ,CUL, , ,CUL, , ,68743.56326,0,0,68743.54209
3907,Polygon,66522,2019,0,0,0,81993,094A025_3663,P,TEM,PEL,BWBSmw1,5,CF2,5,AM:5,0, ,CUL, , ,CUL, , ,10753.83838,10753.83838,0,21507.66343
3908,Polygon,66523,2020,0,0,0,81994,094A026_3482,P,TEM,PEL,BWBSmw1,10,AM:ap5,0, ,0, ,DYF, , ,DYF-At, , ,220068.3937,0,0,220068.3919
3909,Polygon,66524,2021,0,0,0,81995,094A025_4896,P,TEM,PEL,BWBSmw1,10,SW:as5,0, ,0, ,DYF, , ,DYF-At, , ,190456.9522,0,0,91520.60174
3910,Polygon,66525,2023,0,0,0,81997,094A016_3372,V,TEM,PEL,BWBSmw1,6,Fm023,4,GB1,0, ,RSH,NVE, ,RSH-Ac,NVE, ,103117.7541,68745.16941,0,171862.8982
3911,Polygon,66531,2031,0,0,0,82005,094A025_9984,V,TEM,PEL,BWBSmw1,8,SW:as5,2,SW:4,0, ,DYF, , ,DYF-At, , ,62617.06262,15654.26566,0,78271.32365
3912,Polygon,66532,2032,0,0,0,82006,094A026_3510,P,TEM,PEL,BWBSmw1,10,SW:as5,0, ,0, ,DYF, , ,DYF-At, , ,20934.37779,0,0,20934.37666
3913,Polygon,66533,2033,0,0,0,82007,094A025_3547,P,TEM,PEL,BWBSmw1,10,AM:ap5,0, ,0, ,DYF, , ,DYF-At, , ,76856.59691,0,0,76856.59879
3914,Polygon,66536,2036,0,0,0,82010,094A025_3636,V,TEM,PEL,BWBSmw1,6,AM:ap5,4,AM:3,0, ,DYF, , ,DYF-At, , ,19093.60477,12729.06984,0,31822.67991
3915,Polygon,66538,2040,0,0,0,82014,094A025_3515,P,TEM,PEL,BWBSmw1,10,SW:as5,0, ,0, ,DYF, , ,DYF-At, , ,119536.6072,0,0,119536.6098
3916,Polygon,66540,2042,0,0,0,82016,094A026_3435,V,TEM,PEL,BWBSmw1,5,SH6,5,SH4,0, ,CMF,CYF, ,CMF-Sw,CYF-Sw, ,68744.85788,68744.85788,0,137489.7352
3917,Polygon,66542,2044,0,0,0,82018,094A026_3458,G,TEM,PEL,BWBSmw1,10,AM:ap5,0, ,0, ,DYF, , ,DYF-At, , ,132718.0748,0,0,68850.29137
3918,Polygon,66543,2045,0,0,0,82019,094A016_3417,P,TEM,PEL,BWBSmw1,10,MI1,0, ,0, ,ANT, , ,ANT, , ,250626.21,0,0,250626.1961
3919,Polygon,66546,2049,0,0,0,82023,094A026_9987,P,TEM,PEL,BWBSmw1,6,CF2,4,AM:5,0, ,CUL, , ,CUL, , ,174698.0635,116465.3757,0,291163.4701
3920,Polygon,66549,2053,0,0,0,82027,094A016_3232,G,TEM,PEL,BWBSmw1,7,SH6,3,SH:4,0, ,CMF, , ,CMF-Sw, , ,179465.3755,76913.73236,0,51765.07765
3921,Polygon,66552,2057,0,0,0,82031,094A016_3073,V,TEM,PEL,BWBSmw1,7,AM:ap4,3,AM3,0, ,DYF,CSH, ,DYF-At,CSH-Sw, ,1500259.606,642968.4026,0,540329.2586
3922,Polygon,66554,2059,0,0,0,82033,094A016_20195,P,TEM,PEL,BWBSmw1,10,SH:ac6,0, ,0, ,DMF, , ,DMF-Ac, , ,22652.79353,0,0,22652.77505
3923,Polygon,66555,2060,0,0,0,82034,094A016_20133,P,TEM,PEL,BWBSmw1,10,SH6,0, ,0, ,CMF, , ,CMF-Sw, , ,67981.55786,0,0,67981.53636
3924,Polygon,66559,2066,0,0,0,82040,094A016_20106,P,TEM,PEL,BWBSmw1,10,AM:ap5,0, ,0, ,DYF, , ,DYF-At, , ,55854.74064,0,0,55854.75539
3925,Polygon,66560,2067,0,0,0,82041,094A015_20161,P,TEM,PEL,BWBSmw1,8,SH7,2,WH3,0, ,CMF,WRI, ,CMF-Sw,WRI, ,32660.06809,8165.01702,0,40825.07112
3926,Polygon,66562,2070,0,0,0,82044,094A015_20099,P,TEM,PEL,BWBSmw1,10,WH3,0, ,0, ,WRI, , ,WRI, , ,7909.17447,0,0,7909.172452
3927,Polygon,66563,2071,0,0,0,82045,094A015_20083,P,TEM,PEL,BWBSmw1,10,SC:ab6,0, ,0, ,DMF, , ,DMF-At, , ,30110.59328,0,0,30110.58686
3928,Polygon,66566,2077,0,0,0,82051,094A025_4899,V,TEM,PEL,BWBSmw1,10,AM:ap5,0, ,0, ,DYF, , ,DYF-At, , ,51296.88788,0,0,51296.9079
3929,Polygon,66567,2080,0,0,0,82054,094A016_3410,P,TEM,PEL,BWBSmw1,8,WW2,2,AS3,0, ,DSG,DSS, ,DSG,DSS, ,49147.99765,12286.99941,0,61434.95407
3930,Polygon,66569,2082,0,0,0,82056,094A025_4880,P,TEM,PEL,BWBSmw1,10,SW:as5,0, ,0, ,DYF, , ,DYF-At, , ,203203.8597,0,0,200718.2372
3931,Polygon,66570,2085,0,0,0,82059,094A016_3373,P,TEM,PEL,BWBSmw1,6,GB1,2,WH2,2,WH3,NVE,WRI,WRI,NVE,WRI,WRI,151849.0452,37962.26129,0,25716.11288
3932,Polygon,66572,2087,0,0,0,82061,094A016_3428,G,TEM,PEL,BWBSmw1,8,Fm024,2,GB1,0, ,RYF,NVE, ,RYF-Ac,NVE, ,102317.3525,25579.33813,0,127896.7089
3933,Polygon,66573,2088,0,0,0,82062,094A025_3585,V,TEM,PEL,BWBSmw1,10,AM:ap5,0, ,0, ,DYF, , ,DYF-At, , ,57260.68856,0,0,57260.70156
3934,Polygon,66574,2089,0,0,0,82063,094A025_3564,P,TEM,PEL,BWBSmw1,10,AM:ap5,0, ,0, ,DYF, , ,DYF-At, , ,63071.18017,0,0,49676.67109
3935,Polygon,66576,2093,0,0,0,82067,094A016_3399,V,TEM,PEL,BWBSmw1,8,CB1,2,WW2b,0, ,NVE,DSG, ,NVE,DSG, ,121950.196,30487.54899,0,152437.7833
3936,Polygon,66577,2096,0,0,0,82070,094A026_3431,P,TEM,PEL,BWBSmw1,5,AS3,5,WW2b,0, ,DSS,DSG, ,DSS,DSG, ,25727.16489,25727.16489,0,51454.33747
3937,Polygon,66578,2100,0,0,0,82071,094A025_3481,P,TEM,PEL,BWBSmw1,10,AM:ap3,0, ,0, ,DSH, , ,DSH-At, , ,187887.1236,0,0,767.397772
3938,Polygon,66579,2103,0,0,0,82074,094A016_3401,P,TEM,PEL,BWBSmw1,10,SW:as4,0, ,0, ,DYF, , ,DYF-At, , ,119735.3032,0,0,90801.18177
3939,Polygon,66580,2106,0,0,0,82077,094A016_3389,V,TEM,PEL,BWBSmw1,8,CF2,2,Fm025,0, ,CUL,RYF, ,CUL,RYF-Ac, ,114921.1469,28730.28674,0,143651.4106
3940,Polygon,66581,2107,0,0,0,82078,094A025_4887,P,TEM,PEL,BWBSmw1,10,SW:as4,0, ,0, ,DYF, , ,DYF-At, , ,136657.4885,0,0,136657.4993
3941,Polygon,66582,2108,0,0,0,82079,094A025_3507,P,TEM,PEL,BWBSmw1,10,SW:as5,0, ,0, ,DYF, , ,DYF-At, , ,156326.2579,0,0,156326.2219
3942,Polygon,66584,2112,0,0,0,82083,094A025_4881,P,TEM,PEL,BWBSmw1,5,SW:as5,5,AM:5,0, ,DYF, , ,DYF-At, , ,95264.612,95264.612,0,190482.543
3943,Polygon,66587,2116,0,0,0,82087,094A026_3493,G,TEM,PEL,BWBSmw1,5,CB1,5,SC:3,0, ,NVE, , ,NVE, , ,11218.06042,11218.06042,0,22436.12455
3944,Polygon,66589,2119,0,0,0,82090,094A025_3502,P,TEM,PEL,BWBSmw1,10,AM:ap5,0, ,0, ,DYF, , ,DYF-At, , ,78665.08808,0,0,78665.08595
3945,Polygon,66590,2120,0,0,0,82091,094A026_3486,P,TEM,PEL,BWBSmw1,10,CF2,0, ,0, ,CUL, , ,CUL, , ,7941.10471,0,0,7941.114199
3946,Polygon,66595,2129,0,0,0,82100,094A025_3512,P,TEM,PEL,BWBSmw1,5,SW:as5,5,SW:4,0, ,DYF, , ,DYF-At, , ,23024.03676,23024.03676,0,43827.38316
3947,Polygon,66596,2130,0,0,0,82101,094A025_4898,P,TEM,PEL,BWBSmw1,10,SW:as5,0, ,0, ,DYF, , ,DYF-At, , ,179874.9084,0,0,124365.8334
3948,Polygon,66597,2131,0,0,0,82102,094A025_3521,P,TEM,PEL,BWBSmw1,10,AM:ap5,0, ,0, ,DYF, , ,DYF-At, , ,29426.47558,0,0,6582.459033
3949,Polygon,66598,2132,0,0,0,82103,094A026_3446,P,TEM,PEL,BWBSmw1,10,SW:as4,0, ,0, ,DYF, , ,DYF-At, , ,39546.69319,0,0,6316.738707
3950,Polygon,66601,2135,0,0,0,82106,094A026_3473,V,TEM,PEL,BWBSmw1,10,SW6,0, ,0, ,CMF, , ,CMF-Sw, , ,16228.3723,0,0,16228.365
3951,Polygon,66602,2137,0,0,0,82108,094A016_3421,P,TEM,PEL,BWBSmw1,5,AM:ap3,5,AM:5,0, ,DSH, , ,DSH-At, , ,23722.04828,23722.04828,0,47444.11027
3952,Polygon,66603,2139,0,0,0,82110,094A025_4893,P,TEM,PEL,BWBSmw1,10,SW:as4,0, ,0, ,DYF, , ,DYF-At, , ,30053.84548,0,0,29022.62976
