Station,MitProp,Visit,SurveyID,Year,Date,Time,BHC20_100,UTM_Northing,UTM_Easting,B-ATTW,B-BBWO,B-DOWO,B-HAWO,B-NOFL,B-PIWO,B-YBSA
WP18-062,No,1,WP18-062-1,2018,2018-06-03,4:59:00,DYF,608770,6236650,0,0,0,0,0,0,0
WP18-062,No,2,WP18-062-2,2018,2018-06-21,9:04:00,DYF,608770,6236650,0,0,0,0,0,1,0
WP18-063,No,1,WP18-063-1,2018,2018-06-03,6:09:00,RMF,608698,6238604,0,0,0,1,0,0,1
WP18-063,No,2,WP18-063-2,2018,2018-06-21,6:34:00,RMF,608698,6238604,0,0,0,0,0,0,1
WP18-064,No,1,WP18-064-1,2018,2018-06-06,4:59:00,CYF,608639,6237777,0,0,0,0,0,0,0
WP18-064,No,2,WP18-064-2,2018,2018-06-18,7:25:00,CYF,608639,6237777,0,0,0,0,0,0,0
WP18-065,No,1,WP18-065-1,2018,2018-06-02,5:41:00,DMF,608567,6238059,0,0,0,1,1,0,1
WP18-065,No,2,WP18-065-2,2018,2018-06-18,7:47:00,DMF,608567,6238059,0,0,0,0,0,0,0
WP18-066,No,1,WP18-066-1,2018,2018-06-03,4:26:00,RYF,608571,6237001,0,0,1,0,1,0,0
WP18-066,No,2,WP18-066-2,2018,2018-06-21,8:43:00,RYF,608571,6237001,0,0,2,0,0,0,0
WP18-067,No,1,WP18-067-1,2018,2018-06-06,5:40:00,CYF,608388,6238236,2,0,0,0,0,0,0
WP18-067,No,2,WP18-067-2,2018,2018-06-18,8:15:00,CYF,608388,6238236,0,0,0,0,0,0,0
WP18-068,No,1,WP18-068-1,2018,2018-06-03,8:11:00,DYF,608162,6236483,0,0,0,0,0,0,0
WP18-068,No,2,WP18-068-2,2018,2018-06-29,7:55:00,DYF,608162,6236483,0,0,0,0,0,1,1
WP18-069,No,1,WP18-069-1,2018,2018-06-03,4:59:00,RYF,607989,6239142,0,0,0,0,0,0,1
WP18-069,No,2,WP18-069-2,2018,2018-06-21,5:43:00,RYF,607989,6239142,0,0,0,0,1,0,2
WP18-070,No,1,WP18-070-1,2018,2018-06-03,8:41:00,DYF,607888,6236654,0,0,0,0,0,0,0
WP18-070,No,2,WP18-070-2,2018,2018-06-24,5:02:00,DYF,607888,6236654,0,0,0,0,0,0,1
WP18-071,No,1,WP18-071-1,2018,2018-06-12,8:36:00,DSH,607685,6235599,0,0,0,0,1,0,0
WP18-071,No,2,WP18-071-2,2018,2018-06-29,7:49:00,DSH,607685,6235599,0,0,0,2,1,0,0
WP18-072,No,1,WP18-072-1,2018,2018-06-21,5:10:00,RMF,607597,6239258,0,0,0,0,0,0,0
WP18-072,No,2,WP18-072-2,2018,2018-06-29,5:30:00,RMF,607597,6239258,0,0,0,0,0,0,2
WP18-073,No,1,WP18-073-1,2018,2018-06-12,7:52:00,DMF,607477,6234613,0,0,0,0,0,0,0
WP18-073,No,2,WP18-073-2,2018,2018-06-29,8:20:00,DMF,607477,6234613,0,0,0,0,0,0,0
WP18-074,No,1,WP18-074-1,2018,2018-06-06,5:25:00,DYF,607416,6237266,0,0,0,0,0,0,0
WP18-074,No,2,WP18-074-2,2018,2018-06-18,9:02:00,DYF,607416,6237266,0,0,0,0,0,0,0
WP18-075,No,1,WP18-075-1,2018,2018-06-03,8:07:00,DMF,607302,6236178,0,0,0,0,0,0,0
WP18-075,No,2,WP18-075-2,2018,2018-06-24,6:14:00,DMF,607302,6236178,0,0,0,0,0,0,1
WP18-076,No,1,WP18-076-1,2018,2018-06-03,9:44:00,RSH,607154,6235037,0,0,0,0,2,0,0
WP18-076,No,2,WP18-076-2,2018,2018-06-24,7:57:00,RSH,607154,6235037,0,0,0,0,2,0,0
WP18-077,No,1,WP18-077-1,2018,2018-06-03,7:12:00,WSH,606970,6236096,0,0,0,0,0,0,2
WP18-077,No,2,WP18-077-2,2018,2018-06-24,5:35:00,WSH,606970,6236096,0,0,0,0,0,0,3
WP18-078,No,1,WP18-078-1,2018,2018-06-12,7:21:00,RMF,606856,6234373,1,0,0,0,0,0,0
WP18-078,No,2,WP18-078-2,2018,2018-06-29,8:35:00,RMF,606856,6234373,1,0,0,0,0,1,0
WP18-079,No,1,WP18-079-1,2018,2018-06-12,6:47:00,RSH,606572,6234119,0,0,0,1,1,0,0
WP18-079,No,2,WP18-079-2,2018,2018-06-29,8:36:00,RSH,606572,6234119,0,0,0,0,0,0,0
WP18-080,No,1,WP18-080-1,2018,2018-06-03,8:57:00,FBT,606212,6235316,0,0,0,0,0,0,2
WP18-080,No,2,WP18-080-2,2018,2018-06-24,6:50:00,FBT,606212,6235316,0,0,0,0,0,0,1
WP18-081,No,1,WP18-081-1,2018,2018-06-03,9:43:00,DSH,607214,6235407,0,0,0,0,1,0,0
WP18-081,No,2,WP18-081-2,2018,2018-06-24,8:33:00,DSH,607214,6235407,0,0,0,3,0,0,0
WP18-082,No,1,WP18-082-1,2018,2018-06-11,9:53:00,DMF,603660,6233206,0,0,0,0,0,0,1
WP18-082,No,2,WP18-082-2,2018,2018-06-29,8:58:00,DMF,603660,6233206,0,0,0,0,0,0,1
WP18-084,No,1,WP18-084-1,2018,2018-06-12,5:58:00,DMF,602661,6233041,1,0,1,1,0,0,1
WP18-084,No,2,WP18-084-2,2018,2018-06-29,9:09:00,DMF,602661,6233041,0,0,0,0,0,0,1
WP18-085,No,1,WP18-085-1,2018,2018-06-11,9:24:00,RYF,602464,6233469,0,0,0,0,0,0,0
WP18-085,No,2,WP18-085-2,2018,2018-06-28,9:29:00,RYF,602464,6233469,0,0,0,0,0,0,0
WP18-086,No,1,WP18-086-1,2018,2018-06-12,5:18:00,DYF,602239,6232979,0,0,0,0,0,0,0
WP18-086,No,2,WP18-086-2,2018,2018-06-29,9:21:00,DYF,602239,6232979,0,0,0,0,0,0,0
WP18-087,No,1,WP18-087-1,2018,2018-06-11,8:50:00,RMF,601823,6233491,1,0,1,0,1,0,0
WP18-087,No,2,WP18-087-2,2018,2018-06-28,8:58:00,RMF,601823,6233491,0,0,0,0,0,0,0
WP18-088,No,1,WP18-088-1,2018,2018-06-11,7:58:00,DMF,600857,6233244,0,0,0,0,0,0,0
WP18-088,No,2,WP18-088-2,2018,2018-06-28,8:17:00,DMF,600857,6233244,0,0,0,0,0,0,0
WP18-089,No,1,WP18-089-1,2018,2018-06-11,7:09:00,RYF,600271,6233456,0,0,0,0,0,0,0
WP18-089,No,2,WP18-089-2,2018,2018-06-28,7:33:00,RYF,600271,6233456,0,0,0,0,0,0,0
WP18-090,No,1,WP18-090-1,2018,2018-06-11,6:32:00,RYF,599832,6232981,0,0,0,1,0,0,0
WP18-090,No,2,WP18-090-2,2018,2018-06-28,6:58:00,RYF,599832,6232981,0,0,0,0,0,0,0
WP18-091,No,1,WP18-091-1,2018,2018-06-11,6:08:00,DYF,599287,6232721,0,0,0,1,0,0,0
WP18-091,No,2,WP18-091-2,2018,2018-06-28,6:28:00,DYF,599287,6232721,0,0,0,0,0,0,0
WP18-092,No,1,WP18-092-1,2018,2018-06-11,5:35:00,DSH,598260,6232430,0,0,0,0,0,0,0
WP18-092,No,2,WP18-092-2,2018,2018-06-28,5:54:00,DSH,598260,6232430,0,0,0,0,0,0,0
WP18-093,No,1,WP18-093-1,2018,2018-06-11,5:02:00,DMF,597266,6231178,0,0,0,0,0,0,1
WP18-093,No,2,WP18-093-2,2018,2018-06-28,5:14:00,DMF,597266,6231178,0,0,0,0,0,0,1
WP18-094,No,1,WP18-094-1,2018,2018-06-07,4:37:00,RYF,596396,6231752,0,0,0,0,1,0,0
WP18-094,No,2,WP18-094-2,2018,2018-06-30,7:15:00,RYF,596396,6231752,0,0,0,0,0,0,1
WP18-095,No,1,WP18-095-1,2018,2018-06-07,5:37:00,CMF,594547,6232230,0,0,0,0,0,0,1
WP18-095,No,2,WP18-095-2,2018,2018-06-20,6:03:00,CMF,594547,6232230,0,0,0,1,0,0,1
WP18-096,No,1,WP18-096-1,2018,2018-06-07,6:37:00,DMF,593936,6232047,1,0,0,0,0,0,0
WP18-096,No,2,WP18-096-2,2018,2018-06-20,7:05:00,DMF,593936,6232047,2,0,0,0,0,0,0
WP18-097,No,1,WP18-097-1,2018,2018-06-07,6:34:00,DMF,593059,6233754,0,0,0,1,0,0,0
WP18-097,No,2,WP18-097-2,2018,2018-06-20,6:40:00,DMF,593059,6233754,0,0,0,0,0,0,0
WP18-098,No,1,WP18-098-1,2018,2018-06-07,7:41:00,DMF,592405,6234286,1,0,0,0,0,0,0
WP18-098,No,2,WP18-098-2,2018,2018-06-20,6:29:00,DMF,592405,6234286,2,0,0,0,0,0,0
WP18-099,No,1,WP18-099-1,2018,2018-06-07,7:52:00,DYF,591515,6233829,0,0,0,0,0,0,0
WP18-099,No,2,WP18-099-2,2018,2018-06-20,7:57:00,DYF,591515,6233829,0,0,1,0,0,0,1
WP18-100,No,1,WP18-100-1,2018,2018-06-07,8:47:00,DYF,590979,6234003,0,0,0,0,0,0,0
WP18-100,No,2,WP18-100-2,2018,2018-06-20,9:00:00,DYF,590979,6234003,0,0,0,0,0,0,0
WP18-101,No,1,WP18-101-1,2018,2018-06-07,8:28:00,DYF,590642,6234575,0,0,0,0,0,0,0
WP18-101,No,2,WP18-101-2,2018,2018-06-20,8:02:00,DYF,590642,6234575,0,0,0,0,0,0,0
WP18-102,No,1,WP18-102-1,2018,2018-06-11,9:09:00,DSH,578574,6220431,0,0,0,0,0,0,0
WP18-102,No,2,WP18-102-2,2018,2018-06-27,10:35:00,DSH,578574,6220431,0,0,0,0,0,0,0
WP19-007,No,1,WP19-007-1,2019,2019-05-31,7:52:00,RMF,633855,6230392,0,0,0,0,0,0,3
WP19-019,No,1,WP19-019-1,2019,2019-06-06,9:47:00,RSH,609266,6236758,0,0,0,0,0,0,0
WP19-019,No,2,WP19-019-2,2019,2019-06-26,8:23:00,RSH,609266,6236758,0,0,0,1,0,0,0
WP19-022,No,1,WP19-022-1,2019,2019-06-06,9:29:00,DSH,607681,6235607,0,0,0,0,0,0,0
WP19-022,No,2,WP19-022-2,2019,2019-06-26,8:19:00,DSH,607681,6235607,0,0,0,0,0,0,0
WP19-023,No,1,WP19-023-1,2019,2019-06-06,9:22:00,RMF,607140,6234555,0,0,0,0,0,0,0
WP19-023,No,2,WP19-023-2,2019,2019-06-26,8:14:00,RMF,607140,6234555,0,0,0,0,0,2,0
WP19-024,No,1,WP19-024-1,2019,2019-06-06,4:20:00,FBT,606210,6235312,0,0,0,0,0,0,0
WP19-024,No,2,WP19-024-2,2019,2019-06-23,9:42:00,FBT,606210,6235312,1,0,0,0,0,0,0
WP19-025,No,1,WP19-025-1,2019,2019-06-06,4:50:00,FBS,605831,6234974,0,0,0,0,0,0,0
WP19-025,No,2,WP19-025-2,2019,2019-06-23,9:40:00,FBS,605831,6234974,0,0,0,0,0,0,1
WP19-026,No,1,WP19-026-1,2019,2019-06-06,8:42:00,RYF,602727,6233532,0,0,0,0,0,0,0
WP19-026,No,2,WP19-026-2,2019,2019-06-26,7:32:00,RYF,602727,6233532,0,0,0,0,0,0,0
WP19-031,No,1,WP19-031-1,2019,2019-06-06,7:58:00,RYF,600260,6233470,0,0,0,0,0,0,0
WP19-031,No,2,WP19-031-2,2019,2019-06-26,7:18:00,RYF,600260,6233470,0,0,1,0,0,0,0
WP19-033,No,1,WP19-033-1,2019,2019-06-06,7:25:00,RYF,599823,6232983,0,0,0,0,0,0,0
WP19-033,No,2,WP19-033-2,2019,2019-06-26,6:42:00,RYF,599823,6232983,0,0,0,0,0,0,0
WP19-034,No,1,WP19-034-1,2019,2019-06-05,9:38:00,RMF,598786,6232278,0,0,0,0,0,0,0
WP19-034,No,2,WP19-034-2,2019,2019-06-26,6:16:00,RMF,598786,6232278,0,0,0,0,0,0,0
WP19-035,No,1,WP19-035-1,2019,2019-06-05,9:14:00,RSH,598702,6232989,0,0,0,0,1,0,0
WP19-035,No,2,WP19-035-2,2019,2019-06-23,4:18:00,RSH,598702,6232989,0,0,0,0,0,0,0
WP19-036,No,1,WP19-036-1,2019,2019-06-05,8:51:00,RSH,598463,6232720,0,0,0,0,0,0,0
