Survey Name,Footprint,Valley,Mitigation Property,ValleyUpstPine,ValleyUpstDam,Location Reference,Station,Sample Station Label,BBFM_ID,UTM Zone Sample Station,Easting Sample Station,Northing Sample Station,Longitude,Latitude,Sample Station Photos,Sample Station Comments
Point Counts 2016,Yes,No,No,-,No,T/L-Moberly Plateau,316,PC16-316,BBFM0462,10,622620,6221086,-121.0277061,56.11908547,,
Point Counts 2016,No,No,No,-,No,T/L-Moberly Plateau,317,PC16-317,BBFM0473,10,622629,6221328,-121.0274502,56.12125618,,
Point Counts 2016,No,No,No,-,No,T/L-Moberly Plateau,318,PC16-318,BBFM0487,10,622608,6221563,-121.0276797,56.12337174,,
Point Counts 2016,No,No,No,-,No,T/L-Moberly Plateau,319,PC16-319,BBFM0511,10,622584,6221806,-121.0279539,56.12555991,,
Point Counts 2016,No,No,No,-,No,T/L-Moberly Plateau,320,PC16-320,BBFM0533,10,622552,6222007,-121.028376,56.12737299,,
Point Counts 2016,No,No,No,-,No,T/L-Moberly Plateau,321,PC16-321,BBFM0562,10,622597,6222252,-121.0275399,56.1295614,,
Point Counts 2016,No,No,No,-,No,T/L-Moberly Plateau,322,PC16-322,BBFM0595,10,622599,6222505,-121.0273914,56.13183268,,
Point Counts 2016,No,No,No,-,No,T/L-Moberly Plateau,323,PC16-323,BBFM0614,10,622630,6222755,-121.0267779,56.13406957,,
Point Counts 2016,No,No,No,-,No,T/L-Moberly Plateau,324,PC16-324,BBFM0646,10,622629,6222998,-121.0266822,56.13625182,,
Point Counts 2016,No,No,No,-,No,T/L-Moberly Plateau,325,PC16-325,BBFM0663,10,622665,6223252,-121.0259864,56.13852334,,
Point Counts 2016,No,No,No,-,No,T/L-Moberly Plateau,326,PC16-326,BBFM0676,10,622521,6223469,-121.0282024,56.14050886,,
Point Counts 2016,No,No,No,-,No,T/L-Moberly Plateau,327,PC16-327,BBFM0692,10,622586,6223703,-121.0270494,56.14259335,,
